anime_id,title,score,popularity,release_year
5040,One Outs,8.32,1071,2008
55644,Dr. Stone: New World Part 2,8.31,660,2023
22507,Initial D Final Stage,8.3,1624,2014
7655,Major S6,8.31,2978,2010
4081,Natsume Yuujinchou,8.3,426,2008
1210,NHK ni Youkoso!,8.31,268,2006
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.3,232,2021
5341,Ookami to Koushinryou II,8.3,483,2009
30230,Diamond no Ace: Second Season,8.3,1739,2015
31043,Boku dake ga Inai Machi,8.3,29,2016
5420,Kemono no Souja Erin,8.29,2431,2009
17389,Kingdom 2nd Season,8.29,1774,2013
24415,Kuroko no Basket 3rd Season,8.29,266,2015
39533,Given,8.29,388,2019
12531,Sakamichi no Apollon,8.29,638,2012
57,Beck,8.29,724,2004
43325,Yuukoku no Moriarty Part 2,8.29,949,2021
6594,Katanagatari,8.29,417,2010
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.29,72,2011
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.27,498,2023
486,Kino no Tabi: The Beautiful World,8.28,767,2003
10087,Fate/Zero,8.27,82,2011
1735,Naruto: Shippuuden,8.28,15,2007
42941,Uma Musume: Pretty Derby Season 2,8.28,2413,2021
38691,Dr. Stone,8.26,49,2019
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,8.26,687,2007
37520,Dororo,8.26,107,2019
19363,Gin no Saji 2nd Season,8.27,1691,2014
23327,Space☆Dandy 2nd Season,8.26,1493,2014
25835,Shirobako,8.26,542,2014
58572,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",8.26,1147,2024
34798,Yuru Camp△,8.26,462,2018
1698,Nodame Cantabile,8.25,821,2007
38731,Diamond no Ace: Act II,8.27,2343,2019
52588,Kaijuu 8-gou,8.25,346,2024
31240,Re:Zero kara Hajimeru Isekai Seikatsu,8.24,23,2016
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,8.24,1287,2011
37989,Golden Kamuy 2nd Season,8.24,1197,2018
13125,Shinsekai yori,8.24,269,2012
44940,World Trigger 3rd Season,8.24,1862,2021
25681,Kamisama Hajimemashita◎,8.24,554,2015
329,Planetes,8.24,991,2003
53111,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,8.25,961,2023
33051,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,1659,2016
54959,BanG Dream! It's MyGO!!!!!,8.23,4007,2023
48316,Kage no Jitsuryokusha ni Naritakute!,8.23,259,2022
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.23,48,2018
45577,IDOLiSH7 Third Beat!,8.23,4786,2021
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,8.24,77,2017
35838,Shoujo Shuumatsu Ryokou,8.23,680,2017
11843,Danshi Koukousei no Nichijou,8.23,235,2012
5690,Nodame Cantabile Finale,8.22,1910,2010
49918,Boku no Hero Academia 6th Season,8.22,287,2022
52578,Boku no Kokoro no Yabai Yatsu,8.22,625,2023
38680,Fruits Basket 1st Season,8.21,212,2019
50602,Spy x Family Part 2,8.21,158,2022
39247,Kobayashi-san Chi no Maid Dragon S,8.21,407,2021
1842,Major S3,8.21,2815,2007
53393,Tengoku Daimakyou,8.21,405,2023
2966,Ookami to Koushinryou,8.21,243,2008
52299,Ore dake Level Up na Ken,8.21,167,2024
51179,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.21,319,2023
6811,InuYasha: Kanketsu-hen,8.2,906,2009
627,Major S1,8.2,2220,2004
16894,Kuroko no Basket 2nd Season,8.2,216,2013
18115,Magi: The Kingdom of Magic,8.2,226,2013
38003,Bungou Stray Dogs 3rd Season,8.2,334,2019
3091,xxxHOLiC◆Kei,8.2,1693,2008
55866,Yubisaki to Renren,8.2,838,2024
44055,Sasaki to Miyano,8.19,1204,2022
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.2,145,2015
49114,Vanitas no Karte Part 2,8.19,804,2022
40052,Great Pretender,8.19,308,2020
32843,Senki Zesshou Symphogear XV,8.19,3789,2019
57181,Ao no Hako,8.18,912,2024
9863,SKET Dance,8.2,1161,2011
37171,Asobi Asobase,8.19,468,2018
1142,Hachimitsu to Clover II,8.18,2009,2006
42897,Horimiya,8.19,83,2021
7791,K-On!!,8.18,303,2010
22297,Fate/stay night: Unlimited Blade Works,8.18,142,2014
3226,Major S4,8.18,2923,2008
40729,Nomad: Megalo Box 2,8.18,1211,2021
18195,Little Busters! Refrain,8.17,1530,2013
7674,Bakuman.,8.17,369,2010
23623,Non Non Biyori Repeat,8.17,1283,2015
1519,Black Lagoon: The Second Barrage,8.17,434,2006
558,Major S2,8.17,2760,2005
18,Initial D Fourth Stage,8.17,1293,2004
51019,Kimetsu no Yaiba: Katanakaji no Sato-hen,8.17,168,2023
40911,Yuukoku no Moriarty,8.17,509,2020
1889,Higurashi no Naku Koro ni Kai,8.16,485,2007
10800,Chihayafuru,8.17,512,2011
962,Aria the Natural,8.16,2596,2006
853,Ouran Koukou Host Club,8.16,135,2006
32867,Bungou Stray Dogs 2nd Season,8.16,205,2016
34636,Ballroom e Youkoso,8.17,747,2017
